fund,net_flow_value,aum_book,churn_strict,surv_36m,persistency,composite_score,rank
Apex Fixed Income Fund,817308127.21,992089129.27,0.16024844720496895,0.7723391730124617,0.8836864476589015,98.8,1
Apex Shariah Growth Fund,743086500.89,786576255.2099999,0.3745949449125081,0.5255295743669243,0.8862517918630942,59.3,2
Apex Capital Growth Fund,680845320.52,870806236.81,0.4722075172048703,0.5423398434135591,0.8860694788067148,56.5,3
Apex Balanced Opportunity Fund,251398256.02,366668800.17,0.3369108726084928,0.6630239461019724,0.8421450607948703,18.3,4
