fund,accounts,customers,aum_book,onboarding_capital,sip_share,active,closure,discontinuation,churn_strict,churn_broad,net_flow_value,net_flow_per_acct
Apex Fixed Income Fund,3221,2688,992089129.27,883595000,0.7149953430611611,0.6962732919254658,0.13322981366459627,0.02701863354037267,0.16024844720496895,0.30372670807453417,817308127.21,253743.59739521888
Apex Shariah Growth Fund,3086,2530,786576255.2099999,330697000,0.9760207388204796,0.6082307193778353,0.31205443940375893,0.06254050550874919,0.3745949449125081,0.3917692806221646,743086500.89,240792.77410563835
Apex Balanced Opportunity Fund,2143,1977,366668800.17,426559000,0.7270181987867476,0.4507699486700887,0.2846476901539897,0.05226318245450303,0.3369108726084928,0.5492300513299113,251398256.02,117311.36538497434
Apex Capital Growth Fund,3779,3330,870806236.81,252430000,0.9407250595395608,0.48703017469560617,0.3965060878771837,0.0757014293276866,0.4722075172048703,0.5129698253043938,680845320.52,180165.47248478432
